,Month,Ridership,Audible Pedestrian Turn Warning System,Bus Collision Injuries Per Million Miles,Bus Collision Per Million Miles,Bus Customer Accidents per million customers,Continuous Welded Rail Initiative (# Track Feet),Friction Pad Installation,Joint Track Safety Audits - Actual Count,Joint Track Safety Audits - Compliance Rate,Subway Customer Accidents,Subway Fires,Vision Zero Employee Training,Precipitation
0,2019-04-01,246348514,,3.76,53.04,1.48,,,,,2.8,57.0,,4.55
1,2019-05-01,257560378,,7.61,57.92,1.57,,,,,2.81,50.0,,6.82
2,2019-06-01,242062197,,8.04,60.88,1.44,,,,,2.98,43.0,,5.46
3,2019-07-01,241498467,,6.35,51.79,1.65,,,,,2.5,59.0,,5.77
4,2019-08-01,238780458,,6.15,48.87,1.81,,,,,2.55,55.0,,3.7
5,2019-09-01,245506584,,7.5,58.69,1.54,,,,,2.33,52.0,,0.95
6,2019-10-01,262144848,,6.24,53.26,1.55,,,,,2.37,58.0,,6.15
7,2019-11-01,238270336,,7.08,57.97,1.65,,,,,2.52,71.0,,1.95
8,2019-12-01,235735687,,5.81,57.22,1.12,,,,,4.07,74.0,,7.09
9,2020-01-01,234152466,,5.76,46.93,1.4,,,,,3.1,74.0,,1.93
10,2020-02-01,222066176,,4.45,48.14,1.16,,,,,2.99,86.0,,2.54
11,2020-03-01,131368114,,6.05,41.32,1.7,,,,,3.91,75.0,,3.78
12,2020-04-01,22929412,,1.69,22.26,2.03,,,,,13.63,60.0,,4.49
13,2020-05-01,32021003,,2.45,29.73,1.91,,,,,8.41,83.0,,1.65
14,2020-06-01,47060811,,5.16,35.21,2.15,,,,,6.18,75.0,,1.76
15,2020-07-01,60129752,,4.6,37.73,1.49,,,,,5.72,84.0,,6.58
16,2020-08-01,64942803,,6.21,42.23,1.78,,,,,4.74,70.0,,5.03
17,2020-09-01,99143111,,5.15,42.84,2.28,,,,,4.26,58.0,,3.94
18,2020-10-01,107354783,,3.61,48.23,2.06,,,,,4.25,70.0,,5.05
19,2020-11-01,96751349,,3.98,46.82,2.26,,,,,4.85,75.0,,3.99
20,2020-12-01,95595937,,4.51,46.91,1.9,,,,,7.75,90.0,,4.61
21,2021-01-01,91232733,,4.59,35.93,2.06,,,,,6.77,79.0,,2.31
22,2021-02-01,83855425,,5.6,47.61,1.26,,,,,7.49,103.0,,5.13
23,2021-03-01,110219619,,4.79,44.15,1.81,,,,,4.93,85.0,,3.41
24,2021-04-01,113474573,,4.9,47.82,1.74,,,,,4.67,88.0,,2.69
25,2021-05-01,122522633,,4.2,50.02,2.15,,,,,3.91,113.0,,4.36
26,2021-06-01,133022873,,6.03,53.7,1.82,,,,,3.7,92.0,,2.62
27,2021-07-01,135147988,,6.02,53.47,1.87,,,,,4.14,60.0,,11.09
28,2021-08-01,134369147,10.0,4.73,52.53,1.88,4530.0,2079.0,28.0,1.0,3.7,66.0,443.0,10.32
29,2021-09-01,143787725,70.0,6.3,60.94,2.32,345.0,2425.0,26.0,0.977,3.39,86.0,541.0,10.03
30,2021-10-01,158093276,31.0,5.69,63.83,1.99,2216.0,2464.0,23.0,0.983,2.96,76.0,484.0,5.26
31,2021-11-01,153362480,40.0,6.57,65.99,1.87,3805.0,2836.0,20.0,0.993,3.25,78.0,442.0,1.12
32,2021-12-01,146554809,75.0,5.8,55.59,1.87,1803.0,2288.0,26.0,0.998,4.05,80.0,470.0,1.39
33,2022-01-01,120231262,14.0,5.56,57.0,1.53,1866.0,750.0,28.0,0.993,5.12,127.0,46.0,4.29
34,2022-02-01,130937281,50.0,7.08,52.6,1.56,1170.0,2084.0,27.0,0.982,4.8,150.0,0.0,3.23
35,2022-03-01,162140970,96.0,6.64,54.28,1.84,2453.0,2371.0,36.0,0.991,3.45,128.0,0.0,2.39
36,2022-04-01,155772043,64.0,7.84,58.55,1.84,1485.0,1875.0,24.0,0.989,3.29,115.0,470.0,4.53
37,2022-05-01,163880734,42.0,5.22,61.24,2.13,2340.0,601.0,31.0,0.983,2.86,95.0,511.0,4.52
38,2022-06-01,164146659,38.0,9.14,64.43,2.25,780.0,3537.0,27.0,0.993,2.88,92.0,501.0,2.92
39,2022-07-01,153916504,42.0,7.34,54.28,2.24,2340.0,2564.0,27.0,0.985,3.03,106.0,548.0,4.55
40,2022-08-01,158532956,43.0,8.9,59.28,2.21,1419.0,1176.0,29.0,1.0,2.94,105.0,557.0,1.71
41,2022-09-01,167671825,65.0,9.2,62.66,2.44,3579.0,1631.0,26.0,0.993,3.1,95.0,563.0,4.1
42,2022-10-01,172435853,56.0,7.94,63.24,1.92,1311.0,4106.0,24.0,0.984,2.38,110.0,640.0,5.08
43,2022-11-01,164391010,46.0,8.34,61.26,2.33,2340.0,3769.0,15.0,1.0,2.51,104.0,551.0,3.15
44,2022-12-01,163931094,54.0,7.88,66.69,2.3,2145.0,3658.0,17.0,0.992,3.22,88.0,590.0,5.83
45,2023-01-01,160066186,39.0,4.96,51.25,2.05,4276.0,3303.0,15.0,0.9776,3.23,77.0,544.0,4.38
46,2023-02-01,150662914,38.0,4.41,56.46,2.11,2145.0,4904.0,31.0,0.9912,2.78,94.0,396.0,1.28
47,2023-03-01,180010211,24.0,8.22,57.62,2.14,2535.0,4944.0,30.0,0.989,2.83,98.0,591.0,3.32
48,2023-04-01,168132160,18.0,6.87,58.14,2.22,1140.0,4249.0,27.0,0.998,2.58,95.0,507.0,7.7
49,2023-05-01,186079779,11.0,10.99,65.32,2.17,3239.0,4893.0,31.0,1.0,2.3,136.0,523.0,1.28
50,2023-06-01,175818787,3.0,8.15,55.51,2.42,1543.0,4402.0,26.0,0.9924,2.55,100.0,514.0,1.62
51,2023-07-01,166903358,7.0,11.31,54.43,2.33,2340.0,3047.0,18.0,0.988,2.49,75.0,525.0,5.34
52,2023-08-01,171885958,9.0,8.6,51.8,2.53,1110.0,4290.0,35.0,0.987,2.4,65.0,552.0,6.56
53,2023-09-01,169674328,12.0,8.44,63.17,2.66,365.0,2648.0,27.0,0.983,2.51,88.0,607.0,14.25
54,2023-10-01,183067487,28.0,7.61,65.48,2.37,972.0,3202.0,28.0,0.985,2.65,70.0,571.0,3.9
